0001	Fry's Electronics
0E72	Hsi-Chin Electronics Co., Ltd
0E75	TVS Electronics, Ltd
0E79	Archos, Inc.
0E7B	On-Tech Industry Co., Ltd
0E7E	Gmate, Inc.
0E82	Ching Tai Electric Wire & Cable Co., Ltd
0E83	Shin An Wire & Cable Co.
0E8C	Well Force Electronic Co., Ltd
0E8D	MediaTek Inc.
0E8F	GreenAsia Inc.
0E90	WiebeTech, LLC
0E91	VTech Engineering Canada, Ltd
0E92	C's Glory Enterprise Co., Ltd
0E93	eM Technics Co., Ltd
0E95	Future Technology Co., Ltd
0E96	Aplux Communications, Ltd
0E97	Fingerworks, Inc.
0E98	Advanced Analogic Technologies, Inc.
0E99	Parallel Dice Co., Ltd
0E9A	TA HSING Industries, Ltd
0E9B	ADTEC Corp.
0E9C	Streamzap, Inc.
0E9F	Tamura Corp.
0EA0	Ours Technology, Inc.
0EA6	Nihon Computer Co., Ltd
0EA7	MSL Enterprises Corp.
0EA8	CenDyne, Inc.
0EAD	Humax Co., Ltd
0EB0	NovaTech
0EB1	WIS Technologies, Inc.
0EB2	Y-S Electronic Co., Ltd
0EB3	Saint Technology Corp.
0EB7	Endor AG
0EB8	Mettler Toledo
0EBB	Thermo Fisher Scientific
0EBE	VWeb Corp.
0EBF	Omega Technology of Taiwan, Inc.
0EC0	LHI Technology (China) Co., Ltd
0EC1	Abit Computer Corp.
0EC2	Sweetray Industrial, Ltd
0EC3	Axell Co., Ltd
0EC4	Ballracing Developments, Ltd
0EC5	GT Information System Co., Ltd
0EC6	InnoVISION Multimedia, Ltd
0EC7	Theta Link Corp.
0ECD	Lite-On IT Corp.
0ECE	TaiSol Electronics Co., Ltd
0ECF	Phogenix Imaging, LLC
0ED1	WinMaxGroup
0ED2	Kyoto Micro Computer Co., Ltd
0ED3	Wing-Tech Enterprise Co., Ltd
0ED5	Fiberbyte
0EDA	Noriake Itron Corp.
0EDF	e-MDT Co., Ltd
0EE0	Shima Seiki Mfg., Ltd
0EE1	Sarotech Co., Ltd
0EE2	AMI Semiconductor, Inc.
0EE3	ComTrue Technology Corp.
0EE4	Sunrich Technology, Ltd
0EEE	Digital Stream Technology, Inc.
0EEF	D-WAV Scientific Co., Ltd
0EF0	Hitachi Cable, Ltd
0EF1	Aichi Micro Intelligent Corp.
0EF2	I/O Magic Corp.
0EF3	Lynn Products, Inc.
0EF4	DSI Datotech
0EF5	PointChips
0EF6	Yield Microelectronics Corp.
0EF7	SM Tech Co., Ltd (Tulip)
0EFD	Oasis Semiconductor
0EFE	Wem Technology, Inc.
0F03	Unitek UPS Systems
0F06	Visual Frontier Enterprise Co., Ltd
0F08	CSL Wire & Plug (Shen Zhen) Co.
0F0C	CAS Corp.
0F0D	Hori Co., Ltd
0F0E	Energy Full Corp.
0F0F	Silego Technology Inc
0F11	LD Didactic GmbH
0F12	Mars Engineering Corp.
0F13	Acetek Technology Co., Ltd
0F14	Ingenico
0F18	Finger Lakes Instrumentation
0F19	Oracom Co., Ltd
0F1B	Onset Computer Corp.
0F1C	Funai Electric Co., Ltd
0F1D	Iwill Corp.
0F21	IOI Technology Corp.
0F22	Senior Industries, Inc.
0F23	Leader Tech Manufacturer Co., Ltd
0F24	Flex-P Industries, Snd., Bhd.
0F2D	ViPower, Inc.
0F2E	Geniality Maple Technology Co., Ltd
0F2F	Priva Design Services
0F30	Jess Technology Co., Ltd
0F31	Chrysalis Development
0F32	YFC-BonEagle Electric Co., Ltd
0F37	Kokuyo Co., Ltd
0F38	Nien-Yi Industrial Corp.
0F39	TG3 Electronics
0F3D	Airprime, Incorporated
0F41	RDC Semiconductor Co., Ltd
0F42	Nital Consulting Services, Inc.
0F44	Polhemus
0F49	Evolis SA
0F4B	St. John Technology Co., Ltd
0F4C	WorldWide Cable Opto Corp.
0F4D	Microtune, Inc.
0F4E	Freedom Scientific
0F52	Wing Key Electrical Co., Ltd
0F53	Dongguan White Horse Cable Factory, Ltd
0F54	Kawai Musical Instruments Mfg. Co., Ltd
0F55	AmbiCom, Inc.
0F5C	Prairiecomm, Inc.
0F5D	NewAge International, LLC
0F5F	Key Technology Corp.
0F60	NTK, Ltd
0F61	Varian, Inc.
0F62	Acrox Technologies Co., Ltd
0F63	LeapFrog Enterprises
0F68	Kobe Steel, Ltd
0F69	Dionex Corp.
0F6A	Vibren Technologies, Inc.
0F6E	INTELLIGENT SYSTEMS
0F73	DFI
0F78	Guntermann & Drunck GmbH
0F7C	DQ Technology, Inc.
0F7D	NetBotz, Inc.
0F7E	Fluke Corp.
0F88	VTech Holdings, Ltd
0F8B	Yazaki Corp.
0F8C	Young Generation International Corp.
0F8D	Uniwill Computer Corp.
0F8E	Kingnet Technology Co., Ltd
0F8F	Soma Networks
0F97	CviLux Corp.
0F98	CyberBank Corp.
0F9C	Hyun Won, Inc.
0F9E	Lucent Technologies
0FA3	Starconn Electronic Co., Ltd
0FA4	ATL Technology
0FA5	Sotec Co., Ltd
0FA7	Epox Computer Co., Ltd
0FA8	Logic Controls, Inc.
0FAF	Winpoint Electronic Corp.
0FB0	Haurtian Wire & Cable Co., Ltd
0FB1	Inclose Design, Inc.
0FB2	Juan-Chern Industrial Co., Ltd
0FB6	Heber Ltd
0FB8	Wistron Corp.
0FB9	AACom Corp.
0FBA	San Shing Electronics Co., Ltd
0FBB	Bitwise Systems, Inc.
0FC1	Mitac Internatinal Corp.
0FC2	Plug and Jack Industrial, Inc.
0FC5	Delcom Engineering
0FC6	Dataplus Supplies, Inc.
0FCA	Research In Motion, Ltd.
0FCE	Sony Ericsson Mobile Communications AB
0FCF	Dynastream Innovations, Inc.
0FD0	Tulip Computers B.V.
0FD1	Giant Electronics Ltd.
0FD2	Seac Banche
0FD4	Tenovis GmbH & Co., KG
0FD5	Direct Access Technology, Inc.
0FD9	Elgato Systems GmbH
0FDA	Quantec Networks GmbH
0FDC	Micro Plus
0FDE	Oregon Scientific
0FE0	Osterhout Design Group
0FE2	Air Techniques
0FE4	IN-Tech Electronics, Ltd
0FE5	Greenconn (U.S.A.), Inc.
0FE6	ICS Advent
0FE9	DVICO
0FEA	United Computer Accessories
0FEB	CRS Electronic Co., Ltd
0FEC	UMC Electronics Co., Ltd
0FED	Access Co., Ltd
0FEE	Xsido Corp.
0FEF	MJ Research, Inc.
0FF6	Core Valley Co., Ltd
0FF7	CHI SHING Computer Accessories Co., Ltd
0FFC	Clavia DMI AB
0FFD	EarlySense
0FFF	Aopen, Inc.
1000	Speed Tech Corp.
1001	Ritronics Components (S) Pte., Ltd
1003	Sigma Corp.
1004	LG Electronics, Inc.
1005	Apacer Technology, Inc.
1006	iRiver, Ltd.
1009	Emuzed, Inc.
100A	AV Chaseway, Ltd
100B	Chou Chin Industrial Co., Ltd
100D	Netopia, Inc.
1010	Fukuda Denshi Co., Ltd
1011	Mobile Media Tech.
1012	SDKM Fibres, Wires & Cables Berhad
1013	TST-Touchless Sensor Technology AG
1014	Densitron Technologies PLC
1015	Softronics Pty., Ltd
1016	Xiamen Hung's Enterprise Co., Ltd
1017	Speedy Industrial Supplies, Pte., Ltd
1019	Elitegroup Computer Systems (ECS)
1020	Labtec
1022	Shinko Shoji Co., Ltd
1025	Hyper-Paltek
1026	Newly Corp.
1027	Time Domain
1028	Inovys Corp.
1029	Atlantic Coast Telesys
102A	Ramos Technology Co., Ltd
102B	Infotronic America, Inc.
102C	Etoms Electronics Corp.
102D	Winic Corp.
1031	Comax Technology, Inc.
1032	C-One Technology Corp.
1033	Nucam Corp.
1038	SteelSeries ApS
1039	devolo AG
103A	PSA
103D	Stanton
1043	iCreate Technologies Corp.
1044	Chu Yuen Enterprise Co., Ltd
1046	Winbond Electronics Corp. [hex]
1048	Targus Group International
104B	Mylex / Buslogic
104C	AMCO TEC International, Inc.
104D	Newport Corporation
104F	WB Electronics
1050	Yubico.com
1053	Immanuel Electronics Co., Ltd
1054	BMS International Beheer N.V.
1055	Complex Micro Interconnection Co., Ltd
1056	Hsin Chen Ent Co., Ltd
1057	ON Semiconductor
1058	Western Digital Technologies, Inc.
1059	Giesecke & Devrient GmbH
105B	Foxconn International, Inc.
105C	Hong Ji Electric Wire & Cable (Dongguan) Co., Ltd
105D	Delkin Devices, Inc.
105E	Valence Semiconductor Design, Ltd
105F	Chin Shong Enterprise Co., Ltd
1060	Easthome Industrial Co., Ltd
1063	Motorola Electronics Taiwan, Ltd [hex]
1065	CCYU Technology
1068	Micropi Elettronica
106A	Loyal Legend, Ltd
106C	Curitel Communications, Inc.
106D	San Chieh Manufacturing, Ltd
106E	ConectL
106F	Money Controls
1076	GCT Semiconductor, Inc.
107B	Gateway, Inc.
107D	Arlec Australia, Ltd
107E	Midoriya Electric Co., Ltd
107F	KidzMouse, Inc.
1082	Shin-Etsukaken Co., Ltd
1083	Canon Electronics, Inc.
1084	Pantech Co., Ltd
108A	Chloride Power Protection
108B	Grand-tek Technology Co., Ltd
108C	Robert Bosch GmbH
108E	Lotes Co., Ltd.
1091	Numerik Jena
1099	Surface Optics Corp.
109A	DATASOFT Systems GmbH
109B	Hisense
109F	eSOL Co., Ltd
10A0	Hirotech, Inc.
10A3	Mitsubishi Materials Corp.
10A9	SK Teletech Co., Ltd
10AA	Cables To Go
10AB	USI Co., Ltd
10AC	Honeywell, Inc.
10AE	Princeton Technology Corp.
10AF	Liebert Corp.
10B5	Comodo (PLX?)
10B8	DiBcom
10BB	TM Technology, Inc.
10BC	Dinging Technology Co., Ltd
10BD	TMT Technology, Inc.
10BF	SmartHome
10C3	Universal Laser Systems, Inc.
10C4	Silicon Labs
10C5	Sanei Electric, Inc.
10C6	Intec, Inc.
10CB	Eratech
10CC	GBM Connector Co., Ltd
10CD	Kycon, Inc.
10CE	Silicon Labs
10CF	Velleman Components, Inc.
10D1	Hottinger Baldwin Measurement
10D2	RayComposer - R. Adams
10D4	Man Boon Manufactory, Ltd
10D5	Uni Class Technology Co., Ltd
10D6	Actions Semiconductor Co., Ltd
10DE	Authenex, Inc.
10DF	In-Win Development, Inc.
10E0	Post-Op Video, Inc.
10E1	CablePlus, Ltd
10E2	Nada Electronics, Ltd
10EC	Vast Technologies, Inc.
10F0	Nexio Co., Ltd
10F1	Importek
10F5	Turtle Beach
10F8	Cesys GmbH
10FB	Pictos Technologies, Inc.
10FD	Anubis Electronics, Ltd
10FE	Thrane & Thrane
1100	VirTouch, Ltd
1101	EasyPass Industrial Co., Ltd
1108	Brightcom Technologies, Ltd
110A	Moxa Technologies Co., Ltd.
1110	Analog Devices Canada, Ltd (Allied Telesyn)
1111	Pandora International Ltd.
1112	YM ELECTRIC CO., Ltd
1113	Medion AG
111E	VSO Electric Co., Ltd
112A	RedRat
112E	Master Hill Electric Wire and Cable Co., Ltd
112F	Cellon International, Inc.
1130	Tenx Technology, Inc.
1131	Integrated System Solution Corp.
1132	Toshiba Corp., Digital Media Equipment [hex]
1136	CTS Electronincs
113C	Arin Tech Co., Ltd
113D	Mapower Electronics Co., Ltd
113F	Integrated Biometrics, LLC
1141	V One Multimedia, Pte., Ltd
1142	CyberScan Technologies, Inc.
1145	Japan Radio Company
1146	Shimane SANYO Electric Co., Ltd.
1147	Ever Great Electric Wire and Cable Co., Ltd
114B	Sphairon Access Systems GmbH
114C	Tinius Olsen Testing Machine Co., Inc.
114D	Alpha Imaging Technology Corp.
114F	Wavecom
115B	Salix Technology Co., Ltd.
1162	Secugen Corp.
1163	DeLorme Publishing, Inc.
1164	YUAN High-Tech Development Co., Ltd
1165	Telson Electronics Co., Ltd
1166	Bantam Interactive Technologies
1167	Salient Systems Corp.
1168	BizConn International Corp.
116E	Gigastorage Corp.
116F	Silicon 10 Technology Corp.
1175	Shengyih Steel Mold Co., Ltd
117D	Santa Electronic, Inc.
117E	JNC, Inc.
1182	Venture Corp., Ltd
1183	Compaq Computer Corp. [hex] (Digital Dream ??)
1184	Kyocera Elco Corp.
1188	Bloomberg L.P.
1189	Acer Communications & Multimedia
118F	You Yang Technology Co., Ltd
1190	Tripace
1191	Loyalty Founder Enterprise Co., Ltd
1196	Yankee Robotics, LLC
1197	Technoimagia Co., Ltd
1198	StarShine Technology Corp.
1199	Sierra Wireless, Inc.
119A	ZHAN QI Technology Co., Ltd
119B	ruwido austria GmbH
11A0	Chipcon AS
11A3	Technovas Co., Ltd
11AA	GlobalMedia Group, LLC
11AB	Exito Electronics Co., Ltd
11AC	Nike
11B0	ATECH FLASH TECHNOLOGY
11BE	R&D International NV
11C0	Betop
11C5	Inmax
11C9	Nacon
11CA	VeriFone Inc
11DB	Topfield Co., Ltd.
11E6	K.I. Technology Co. Ltd.
11F5	Siemens AG
11F6	Prolific
11F7	Alcatel (?)
1203	TSC Auto ID Technology Co., Ltd
1209	Generic
120E	Hudson Soft Co., Ltd
120F	Magellan
1210	DigiTech
121E	Jungsoft Co., Ltd
121F	Panini S.p.A.
1220	TC Electronic
1221	Unknown manufacturer
1222	TiPro
1223	SKYCABLE ENTERPRISE. CO., LTD.
1228	Datapaq Limited
1230	Chipidea-Microelectronica, S.A.
1233	Denver Electronics
1234	Brain Actuated Technologies
1235	Focusrite-Novation
1241	Belkin
1243	Holtek Semiconductor, Inc.
124A	AirVast
124B	Nyko (Honey Bee)
124C	MXI - Memory Experts International, Inc.
125C	Apogee Inc.
125D	JMicron
125F	A-DATA Technology Co., Ltd.
1260	Standard Microsystems Corp.
1264	Covidien Energy-based Devices
1266	Pirelli Broadband Solutions
1267	Logic3 / SpectraVideo plc
126C	Aristocrat Technologies
126D	Bel Stewart
126E	Strobe Data, Inc.
126F	TwinMOS
1274	Ensoniq
1275	Xaxero Marine Software Engineering, Ltd.
1278	Starlight Xpress
1283	zebris Medical GmbH
1286	Marvell Semiconductor, Inc.
1291	Qualcomm Flarion Technologies, Inc. / Leadtek Research, Inc.
1292	Innomedia
1293	Belkin Components [hex]
1294	RISO KAGAKU CORP.
1297	DekTec
129B	CyberTAN Technology
12A7	Trendchip Technologies Corp.
12AB	Honey Bee Electronic International Ltd.
12B8	Zhejiang Xinya Electronic Technology Co., Ltd.
12B9	E28
12BA	Licensed by Sony Computer Entertainment America
12BD	Gembird
12C4	Autocue Group Ltd
12CF	DEXIN
12D1	Huawei Technologies Co., Ltd.
12D2	LINE TECH INDUSTRIAL CO., LTD.
12D3	LINAK
12D6	EMS Dr. Thomas Wuensche
12D7	BETTER WIRE FACTORY CO., LTD.
12D8	Araneus Information Systems Oy
12E6	Waldorf Music GmbH
12EF	Tapwave, Inc.
12F2	ViewPlus Technologies, Inc.
12F5	Dynamic System Electronics Corp.
12F7	Memorex Products, Inc.
12FD	AIN Comm. Technology Co., Ltd
12FF	Fascinating Electronics, Inc.
1306	FM20 Barcode Scanner
1307	Transcend Information, Inc.
1308	Shuttle, Inc.
1310	Roper
1312	ICS Electronics
1313	ThorLabs
131D	Natural Point
1325	ams AG
132A	Envara Inc.
132B	Konica Minolta
133E	Kemper Digital GmbH
1342	Mobility
1343	Citizen Systems
1345	Sino Lite Technology Corp.
1347	Moravian Instruments
1348	Katsuragawa Electric Co., Ltd.
134C	PanJit International Inc.
134E	Digby's Bitpile, Inc. DBA D Bit
1357	P&E Microcomputer Systems
135E	Insta GmbH
135F	Control Development Inc.
1366	SEGGER
136B	STEC
136E	Andor Technology Ltd.
1370	Swissbit
1371	CNet Technology Inc.
1376	Vimtron Electronics Co., Ltd.
1377	Sennheiser electronic GmbH & Co. KG
137B	SCAPS GmbH
137C	YASKAWA ELECTRIC CORP.
1385	Netgear, Inc
138A	Validity Sensors, Inc.
138E	Jungo LTD
1390	TOMTOM B.V.
1391	IdealTEK, Inc.
1395	DSEA A/S
1397	BEHRINGER International GmbH
1398	Q-tec
13AD	Baltech
13B0	PerkinElmer Optoelectronics
13B1	Linksys
13B2	Alesis
13B3	Nippon Dics Co., Ltd.
13BA	PCPlay
13BE	Ricoh Printing Systems, Ltd.
13CA	JyeTai Precision Industrial Co., Ltd.
13CF	Wisair Ltd.
13D0	Techsan Electronics Co., Ltd.
13D1	A-Max Technology Macao Commercial Offshore Co. Ltd.
13D2	Shark Multimedia
13D3	IMC Networks
13D7	Guidance Software, Inc.
13DC	ALEREON, INC.
13DD	i.Tech Dynamic Limited
13E1	Kaibo Wire & Cable (Shenzhen) Co., Ltd.
13E5	Rane
13E6	TechnoScope Co., Ltd.
13EA	Hengstler
13EC	Zydacron
13EE	MosArt
13FD	Initio Corporation
13FE	Phison Electronics Corp.
1400	Axxion Group Corp.
1402	Bowe Bell & Howell
1403	Sitronix
1404	Fundamental Software, Inc.
1409	IDS Imaging Development Systems GmbH
140E	Telechips, Inc.
1410	Novatel Wireless
1415	Nam Tai E&E Products Ltd. or OmniVision Technologies, Inc.
1419	ABILITY ENTERPRISE CO., LTD.
1421	Sensor Technology
1424	Posnet Polska S.A.
1429	Vega Technologies Industrial (Austria) Co.
142A	Thales E-Transactions
142B	Arbiter Systems, Inc.
1430	RedOctane
1431	Pertech Resources, Inc.
1435	Wistron NeWeb
1436	Denali Software, Inc.
143C	Altek Corporation
1443	Digilent
1446	X.J.GROUP
1451	Force Dimension
1452	Dai Nippon Printing, Inc
1453	Radio Shack
1456	Extending Wire & Cable Co., Ltd.
1457	First International Computer, Inc.
145F	Trust
1460	Tatung Co.
1461	Staccato Communications
1462	Micro Star International
146B	BigBen Interactive
1472	Huawei-3Com
147A	Formosa Industrial Computing, Inc.
147E	Upek
147F	Hama GmbH & Co., KG
1482	Vaillant
1484	Elsa AG [hex]
1485	Silicom
1487	DSP Group, Ltd.
148E	EVATRONIX SA
148F	Ralink Technology, Corp.
1491	Futronic Technology Co. Ltd.
1493	Suunto
1497	Panstrong Company Ltd.
1498	Microtek International Inc.
149A	Imagination Technologies
14AA	WideView Technology Inc.
14AD	CTK Corporation
14AE	Printronix Inc.
14AF	ATP Electronics Inc.
14B0	StarTech.com Ltd.
14B2	Ralink Technology, Corp.
14C0	Rockwell Automation, Inc.
14C2	Gemlight Computer, Ltd
14C8	Zytronic
14CD	Super Top
14D8	JAMER INDUSTRIES CO., LTD.
14DD	Raritan Computer, Inc.
14E0	WiNRADiO Communications
14E1	Dialogue Technology Corp.
14E5	SAIN Information & Communications Co., Ltd.
14EA	Planex Communications
14ED	Shure Inc.
14F7	TechniSat Digital GmbH
1500	Ellisys
1501	Pine-Tum Enterprise Co., Ltd.
1504	Bixolon CO LTD
1508	Fibocom
1509	First International Computer, Inc.
1513	medMobile
1514	Actel
1516	CompUSA
1518	Cheshire Engineering Corp.
1519	Comneon
151F	Opal Kelly Incorporated
1520	Bitwire Corp.
1524	ENE Technology Inc
1527	Silicon Portals
1529	UBIQUAM Co., Ltd.
152A	Thesycon Systemsoftware & Consulting GmbH
152B	MIR Srl
152D	JMicron Technology Corp. / JMicron USA Technology Corp.
152E	LG (HLDS)
1532	Razer USA, Ltd
153B	TerraTec Electronic GmbH
1546	U-Blox AG
1547	SG Intec Ltd & Co KG
154A	Celectronic GmbH
154B	PNY
154D	ConnectCounty Holdings Berhad
154E	D&M Holdings, Inc. (Denon/Marantz)
154F	SNBC CO., Ltd
1554	Prolink Microsystems Corp.
1557	OQO
1568	Sunf Pu Technology Co., Ltd
156F	Quantum Corporation
1570	ALLTOP TECHNOLOGY CO., LTD.
157B	Ketron SRL
157E	TRENDnet
1582	Fiberline
1587	SMA Technologie AG
158D	Oakley Inc.
158E	JDS Uniphase Corporation (JDSU)
1598	Kunshan Guoji Electronics Co., Ltd.
15A2	Freescale Semiconductor, Inc.
15A4	Afatech Technologies, Inc.
15A8	Teams Power Limited
15A9	Gemtek
15AA	Gearway Electronics (Dong Guan) Co., Ltd.
15AD	VMware Inc.
15BA	Olimex Ltd.
15C0	XL Imaging
15C2	SoundGraph Inc.
15C5	Pressure Profile Systems, Inc.
15C6	Laboratoires MXM
15C8	KTF Technologies
15C9	D-Box Technologies
15CA	Textech International Ltd.
15D5	Coulomb Electronics Ltd.
15D9	Trust International B.V.
15DC	Hynix Semiconductor Inc.
15E0	Seong Ji Industrial Co., Ltd.
15E1	RSA
15E4	Numark
15E8	SohoWare
15E9	Pacific Digital Corp.
15EC	Belcarra Technologies Corp.
15F4	HanfTek
1604	Tascam
1605	ACCES I/O Products, Inc.
1606	Umax
1608	Inside Out Networks [hex]
160A	VIA Technologies, Inc.
160E	INRO
1614	Amoi Electronics
1617	Sony Corp.
1619	L & K Precision Technology Co., Ltd.
161C	Digitech Systems
1621	Wionics Research
1628	Stonestreet One, Inc.
162A	Airgo Networks Inc.
162F	WiQuest Communications, Inc.
1630	2Wire, Inc.
1631	Good Way Technology
1633	AIM GmbH
1645	Entrega [hex]
1649	SofTec Microsystems
164A	ChipX
164C	Matrix Vision GmbH
1657	Struck Innovative Systeme GmbH
165B	Frontier Design Group
165C	Kondo Kagaku
1660	Creatix Polymedia GmbH
1667	GIGA-TMS INC.
1668	Actiontec Electronics, Inc. [hex]
1669	PiKRON Ltd. [hex]
166A	Clipsal
1677	China Huada Integrated Circuit Design (Group) Co., Ltd. (CIDC Group)
1679	Total Phase
167B	Pure Digital Technologies, Inc.
1680	Golden Bridge Electech Inc.
1681	Prevo Technologies, Inc.
1682	Maxwise Production Enterprise Ltd.
1684	Godspeed Computer Corp.
1685	Delock
1686	ZOOM Corporation
1687	Kingmax Digital Inc.
1688	Saab AB
1689	Razer USA, Ltd
168C	Atheros Communications
1690	Askey Computer Corp. [hex]
1696	Hitachi Video and Information System, Inc.
1697	VTec Test, Inc.
16A5	Shenzhen Zhengerya Cable Co., Ltd.
16A6	Unigraf
16AB	Global Sun Technology
16AC	Dongguan ChingLung Wire & Cable Co., Ltd.
16B4	iStation
16B5	Persentec, Inc.
16C0	Van Ooijen Technische Informatica
16CA	Wireless Cables, Inc.
16CC	silex technology, Inc.
16D0	MCS
16D1	Suprema Inc.
16D3	Frontline Test Equipment, Inc.
16D5	AnyDATA Corporation
16D6	JABLOCOM s.r.o.
16D8	CMOTECH Co., Ltd.
16DC	Wiener, Plein & Baus
16DE	Telemecanique
16DF	King Billion Electronics Co., Ltd.
16F0	GN Hearing A/S
16F5	Futurelogic Inc.
1702	FDI-MATELEC
1706	BlueView Technologies, Inc.
1707	ARTIMI
170B	Swissonic
170D	Avnera
1711	Leica Microsystems
1724	Meyer Instruments (MIS)
1725	Vitesse Semiconductor
1726	Axesstel, Inc.
172F	Waltop International Corp.
1733	Cellink Technology Co., Ltd
1736	CANON IMAGING SYSTEM TECHNOLOGIES INC.
1737	802.11g Adapter [Linksys WUSB54GC v3]
173A	Roche
173D	QSENN
1740	Senao
1743	General Atomics
1748	MQP Electronics
174C	ASMedia Technology Inc.
174F	Syntek
1753	GERTEC Telecomunicacoes Ltda.
1756	ENENSYS Technologies
1759	LucidPort Technology, Inc.
1761	ASUSTek Computer, Inc. (wrong ID)
1770	MSI
1772	System Level Solutions, Inc.
1776	Arowana
1777	Microscan Systems, Inc.
177F	Sweex
1781	Multiple Vendors
1782	Spreadtrum Communications Inc.
1784	TopSeed Technology Corp.
1787	ATI AIB
1788	ShenZhen Litkconn Technology Co., Ltd.
178E	ASUSTek Computer, Inc. (wrong ID)
1796	Printrex, Inc.
1797	JALCO CO., LTD.
1799	Thales Norway A/S
179D	Ricavision International, Inc.
17A0	Samson Technologies Corp.
17A4	Concept2
17A5	Advanced Connection Technology Inc.
17A7	MICOMSOFT CO., LTD.
17A8	Kamstrup A/S
17B3	Grey Innovation
17B5	Lunatone
17BA	SAURIS GmbH
17C3	Singim International Corp.
17CC	Native Instruments
17CF	Hip Hing Cable & Plug Mfy. Ltd.
17D0	Sanford L.P.
17D3	Korea Techtron Co., Ltd.
17E9	DisplayLink
17EB	Cornice, Inc.
17EF	Lenovo
17F4	WaveSense
17F5	K.K. Rocky
17F6	Unicomp, Inc.
1809	Advantech
1822	Twinhan
1831	Gwo Jinn Industries Co., Ltd.
1832	Huizhou Shenghua Industrial Co., Ltd.
183D	VIVOphone
1843	Vaisala
1849	ASRock Incorporation
184F	K2L GmbH
1852	GYROCOM C&C Co., LTD
1854	Memory Devices Ltd.
185B	Compro
1861	Tech Technology Industrial Company
1862	Teridian Semiconductor Corp.
1870	Nexio Co., Ltd
1871	Aveo Technology Corp.
1873	Navilock
187C	Alienware Corporation
187F	Siano Mobile Silicon
1892	Vast Technologies, Inc.
1894	Topseed
1897	Evertop Wire Cable Co.
189F	3Shape A/S
18A4	CSSN
18A5	Verbatim, Ltd
18B1	Petalynx
18B4	e3C Technologies
18B6	Mikkon Technology Limited
18B7	Zotek Electronic Co., Ltd.
18C5	AMIT Technology, Inc.
18CD	Ecamm
18D1	Google Inc.
18D5	Starline International Group Limited
18D9	Kaba
18DC	LKC Technologies, Inc.
18DD	Planon System Solutions Inc.
18E3	Fitipower Integrated Technology Inc
18E8	Qcom
18EA	Matrox Graphics, Inc.
18EC	Arkmicro Technologies Inc.
18EF	ELV Elektronik AG
18F8	[Maxxter]
18FB	Scriptel Corporation
18FD	FineArch Inc.
1901	GE Healthcare
1908	GEMBIRD
190D	Motorola GSG
1914	Alco Digital Devices Limited
1915	Nordic Semiconductor ASA
191C	Innovative Technology LTD
1923	FitLinxx
1926	NextWindow
1928	Proceq SA
192F	Avago Technologies, Pte.
1930	Shenzhen Xianhe Technology Co., Ltd.
1931	Ningbo Broad Telecommunication Co., Ltd.
1934	Feature Integration Technology Inc. (Fintek)
1935	Elektron Music Machines
1938	Meinberg Funkuhren GmbH & Co. KG
1941	Dream Link
1943	Sensoray Co., Inc.
1949	Lab126, Inc.
194F	PreSonus Audio Electronics, Inc.
1951	Hyperstone AG
1953	Ironkey Inc.
1954	Radiient Technologies
195D	Itron Technology iONE
1963	IK Multimedia
1965	Uniden Corporation
1967	CASIO HITACHI Mobile Communications Co., Ltd.
196B	Wispro Technology Inc.
1970	Dane-Elec Corp. USA
1973	Spectralink Corporation
1975	Dongguan Guneetal Wire & Cable Co., Ltd.
1976	Chipsbrand Microelectronics (HK) Co., Ltd.
1977	T-Logic
197D	Leuze electronic
1980	Storage Appliance Corporation
1989	Nuconn Technology Corp.
198F	Beceem Communications Inc.
1990	Acron Precision Industrial Co., Ltd.
1995	Trillium Technology Pty. Ltd.
1996	PixeLINK
1997	Shenzhen Riitek Technology Co., Ltd
199B	MicroStrain, Inc.
199E	The Imaging Source Europe GmbH
199F	Benica Corporation
19A5	HARRIS Corp.
19A8	Biforst Technology Inc.
19AB	Bodelin
19AF	S Life
19B2	Batronix
19B4	Celestron
19B5	B & W Group
19B6	Infotech Logistic, LLC
19B9	Data Robotics
19C2	Futuba
19CA	Mindtribe
19CF	Parrot SA
19D1	BYD
19D2	ZTE WCDMA Technologies MSM
19DB	KFI Printers
19E1	WeiDuan Electronic Accessory (S.Z.) Co., Ltd.
19E8	Industrial Technology Research Institute
19EF	Pak Heng Technology (Shenzhen) Co., Ltd.
19F7	RODE Microphones
19FA	Gampaq Co.Ltd
19FD	MTI Instruments Inc.
19FF	Dynex
1A08	Bellwood International, Inc.
1A0A	USB-IF non-workshop
1A12	KES Co., Ltd.
1A1D	Veho
1A25	Amphenol East Asia Ltd.
1A2A	Seagate Branded Solutions
1A2C	China Resource Semico Co., Ltd
1A32	Quanta Microsystems, Inc.
1A34	ACRUX
1A36	Biwin Technology Ltd.
1A40	Terminus Technology Inc.
1A41	Action Electronics Co., Ltd.
1A44	VASCO Data Security International
1A4A	Silicon Image
1A4B	SafeBoot International B.V.
1A5A	Tandberg Data
1A61	Abbott Diabetes Care
1A64	Mastervolt
1A6A	Spansion Inc.
1A6D	SamYoung Electronics Co., Ltd
1A6E	Global Unichip Corp.
1A6F	Sagem Orga GmbH
1A72	Physik Instrumente
1A79	Bayer Health Care LLC
1A7B	Lumberg Connect GmbH & Co. KG
1A7C	Evoluent
1A7E	Meltec Systementwicklung
