0000	Ericsson AB
07CC	Barnacle Systems Inc.
07CD	Smart Wave Technologies Canada Inc
07CE	Shanghai Top-Chip Microelectronics Tech. Co., LTD
07CF	NeoSensory, Inc.
07D0	Hangzhou Tuya Information Technology Co., Ltd
07D1	Shanghai Panchip Microelectronics Co., Ltd
07D2	React Accessibility Limited
07D3	LIVNEX Co.,Ltd.
07D4	Kano Computing Limited
07D5	hoots classic GmbH
07D6	ecobee Inc.
07D7	Nanjing Qinheng Microelectronics Co., Ltd
07D8	SOLUTIONS AMBRA INC.
07D9	Micro-Design, Inc.
07DA	STARLITE Co., Ltd.
07DB	Remedee Labs
07DC	ThingOS GmbH & Co KG
07DD	Linear Circuits
07DE	Unlimited Engineering SL
07DF	Snap-on Incorporated
07E0	Edifier International Limited
07E2	Alfred Kaercher SE & Co. KG
07E3	Airoha Technology Corp.
07E4	Geeksme S.L.
07E5	Minut, Inc.
07E6	Waybeyond Limited
07E7	Komfort IQ, Inc.
07E8	Packetcraft, Inc.
07E9	Häfele GmbH & Co KG
07EA	ShapeLog, Inc.
07EB	NOVABASE S.R.L.
07EC	Frecce LLC
07ED	Joule IQ, INC.
07EE	KidzTek LLC
07EF	Aktiebolaget Sandvik Coromant
07F0	e-moola.com Pty Ltd
07F1	Zimi Innovations Pty Ltd
07F2	SERENE GROUP, INC
07F3	DIGISINE ENERGYTECH CO. LTD.
07F4	MEDIRLAB Orvosbiologiai Fejleszto Korlatolt Felelossegu Tarsasag
07F5	Byton North America Corporation
07F6	Shenzhen TonliScience and Technology Development Co.,Ltd
07F7	Cesar Systems Ltd.
07F8	quip NYC Inc.
07FA	Klipsch Group, Inc.
07FB	Access Co., Ltd
07FC	Renault SA
07FD	JSK CO., LTD.
07FE	BIROTA
07FF	maxon motor ltd.
0800	Optek
0801	CRONUS ELECTRONICS LTD
0802	NantSound, Inc.
0803	Domintell s.a.
0804	Andon Health Co.,Ltd
0805	Urbanminded Ltd
0806	TYRI Sweden AB
0807	ECD Electronic Components GmbH Dresden
0808	SISTEMAS KERN, SOCIEDAD ANÓMINA
0809	Trulli Audio
080A	Altaneos
080B	Nanoleaf Canada Limited
080C	Ingy B.V.
080D	Azbil Co.
080E	TATTCOM LLC
080F	Paradox Engineering SA
0810	LECO Corporation
0811	Becker Antriebe GmbH
0812	Mstream Technologies., Inc.
0813	Flextronics International USA Inc.
0814	Ossur hf.
0815	SKC Inc
0816	SPICA SYSTEMS LLC
0817	Wangs Alliance Corporation
0818	tatwah SA
0819	Hunter Douglas Inc
081A	Shenzhen Conex
081B	DIM3
081C	Bobrick Washroom Equipment, Inc.
081D	Potrykus Holdings and Development LLC
081E	iNFORM Technology GmbH
081F	eSenseLab LTD
0820	Brilliant Home Technology, Inc.
0821	INOVA Geophysical, Inc.
0822	adafruit industries
0824	8Power Limited
0825	CME PTE. LTD.
0826	Hyundai Motor Company
0827	Kickmaker
0828	Shanghai Suisheng Information Technology Co., Ltd.
0829	HEXAGON METROLOGY DIVISION ROMER
082A	Mitutoyo Corporation
082B	shenzhen fitcare electronics Co.,Ltd
082C	INGICS TECHNOLOGY CO., LTD.
082D	INCUS PERFORMANCE LTD.
082E	ABB S.p.A.
082F	Blippit AB
0831	Foxble, LLC
0832	Intermotive,Inc.
0833	Conneqtech B.V.
0834	RIKEN KEIKI CO., LTD.,
0835	Canopy Growth Corporation
0836	Bitwards Oy
0837	vivo Mobile Communication Co., Ltd.
0838	Etymotic Research, Inc.
0839	A puissance 3
083A	BPW Bergische Achsen Kommanditgesellschaft
083B	Piaggio Fast Forward
083C	BeerTech LTD
083D	Tokenize, Inc.
083E	Zorachka LTD
083F	D-Link Corp.
0840	Down Range Systems LLC
0841	General Luminaire (Shanghai) Co., Ltd.
0842	Tangshan HongJia electronic technology co., LTD.
0843	FRAGRANCE DELIVERY TECHNOLOGIES LTD
0844	Pepperl + Fuchs GmbH
0845	Dometic Corporation
0846	USound GmbH
0847	DNANUDGE LIMITED
0848	JUJU JOINTS CANADA CORP.
0849	Dopple Technologies B.V.
084A	ARCOM
084B	Biotechware SRL
084C	ORSO Inc.
084D	SafePort
084E	Carol Cole Company
084F	Embedded Fitness B.V.
0850	Yealink (Xiamen) Network Technology Co.,LTD
0851	Subeca, Inc.
0852	Cognosos, Inc.
0853	Pektron Group Limited
0854	Tap Sound System
0855	Helios Sports, Inc.
0856	Canopy Growth Corporation
0857	Parsyl Inc
0858	SOUNDBOKS
0859	BlueUp
085A	DAKATECH
085B	Nisshinbo Micro Devices Inc.
085C	ACOS CO.,LTD.
085D	Guilin Zhishen Information Technology Co.,Ltd.
085E	Krog Systems LLC
0860	Alflex Products B.V.
0861	SmartSensor Labs Ltd
0862	SmartDrive
0863	Yo-tronics Technology Co., Ltd.
0864	Rafaelmicro
0865	Emergency Lighting Products Limited
0866	LAONZ Co.,Ltd
0867	Western Digital Techologies, Inc.
0868	WIOsense GmbH & Co. KG
0869	EVVA Sicherheitstechnologie GmbH
086A	Odic Incorporated
086B	Pacific Track, LLC
086C	Revvo Technologies, Inc.
086D	Biometrika d.o.o.
086E	Vorwerk Elektrowerke GmbH & Co. KG
086F	Trackunit A/S
0870	Wyze Labs, Inc
0871	Dension Elektronikai Kft.
0872	11 Health & Technologies Limited
0873	Innophase Incorporated
0874	Treegreen Limited
0875	Berner International LLC
0876	SmartResQ ApS
0877	Valtech
0878	The Chamberlain Group, Inc.
0879	MIZUNO Corporation
087A	ZRF, LLC
087B	BYSTAMP
087C	Crosscan GmbH
087D	Konftel AB
087E	1bar.net Limited
087F	Phillips Connect Technologies LLC
0880	imagiLabs AB
0881	Optalert
0882	PSYONIC, Inc.
0883	Wintersteiger AG
0884	Controlid Industria, Comercio de Hardware e Servicos de Tecnologia Ltda
0886	Movella Technologies B.V.
0887	Hydro-Gear Limited Partnership
0888	EnPointe Fencing Pty Ltd
0889	XANTHIO
088A	sclak s.r.l.
088B	Tricorder Arraay Technologies LLC
088C	GB Solution co.,Ltd
088D	Soliton Systems K.K.
088F	Tait International Limited
0890	NICHIEI INTEC CO., LTD.
0891	SmartWireless GmbH & Co. KG
0892	Ingenieurbuero Birnfeld UG (haftungsbeschraenkt)
0893	Maytronics Ltd
0894	EPIFIT
0895	Gimer medical
0896	Nokian Renkaat Oyj
0897	Current Lighting Solutions LLC
0899	SFS unimarket AG
089A	Private limited company "Teltonika"
089B	Saucon Technologies
089C	Embedded Devices Co. Company
089D	J-J.A.D.E. Enterprise LLC
089E	i-SENS, inc.
089F	Witschi Electronic Ltd
08A0	Aclara Technologies LLC
08A1	EXEO TECH CORPORATION
08A2	Epic Systems Co., Ltd.
08A3	Hoffmann SE
08A4	Realme Chongqing Mobile Telecommunications Corp., Ltd.
08A6	Intelligenceworks Inc.
08A7	TGR 1.618 Limited
08A8	Shanghai Kfcube Inc
08A9	Fraunhofer IIS
08AA	SZ DJI TECHNOLOGY CO.,LTD
08AB	Coburn Technology, LLC
08AC	Topre Corporation
08AD	Kayamatics Limited
08AE	Moticon ReGo AG
08AF	Polidea Sp. z o.o.
08B0	Trivedi Advanced Technologies LLC
08B1	CORE|vision BV
08B2	PF SCHWEISSTECHNOLOGIE GMBH
08B3	IONIQ Skincare GmbH & Co. KG
08B4	Sengled Co., Ltd.
08B6	Boehringer Ingelheim Vetmedica GmbH
08B7	ABB Inc
08B8	Check Technology Solutions LLC
08B9	U-Shin Ltd.
08BA	HYPER ICE, INC.
08BB	Tokai-rika co.,ltd.
08BC	Prevayl Limited
08BD	bf1systems limited
08BE	ubisys technologies GmbH
08BF	SIRC Co., Ltd.
08C0	Accent Advanced Systems SLU
08C1	Rayden.Earth LTD
08C2	Lindinvent AB
08C3	CHIPOLO d.o.o.
08C5	J. Wagner GmbH
08C7	Monadnock Systems Ltd.
08C8	Liteboxer Technologies Inc.
08C9	Noventa AG
08CA	Nubia Technology Co.,Ltd.
08CB	JT INNOVATIONS LIMITED
08CC	TGM TECHNOLOGY CO., LTD.
08CD	ifly
08CE	ZIMI CORPORATION
08CF	betternotstealmybike UG (with limited liability)
08D0	ESTOM Infotech Kft.
08D1	Sensovium Inc.
08D2	Virscient Limited
08D3	Novel Bits, LLC
08D4	ADATA Technology Co., LTD.
08D5	KEYes
08D7	Inovonics Corp
08D8	WARES
08D9	Pointr Labs Limited
08DA	Miridia Technology Incorporated
08DB	Tertium Technology
08DC	SHENZHEN AUKEY E BUSINESS CO., LTD
08DD	code-Q
08DE	TE Connectivity Corporation
08DF	IRIS OHYAMA CO.,LTD.
08E0	Philia Technology
08E1	KOZO KEIKAKU ENGINEERING Inc.
08E2	Shenzhen Simo Technology co. LTD
08E3	Republic Wireless, Inc.
08E4	Rashidov ltd
08E5	Crowd Connected Ltd
08E6	Eneso Tecnologia de Adaptacion S.L.
08E7	Barrot Technology Co.,Ltd.
08E8	Naonext
08E9	Taiwan Intelligent Home Corp.
08EA	COWBELL ENGINEERING CO.,LTD.
08EB	Beijing Big Moment Technology Co., Ltd.
08EC	Denso Corporation
08ED	IMI Hydronic Engineering International SA
08EE	Askey Computer Corp.
08EF	Cumulus Digital Systems, Inc
08F0	Joovv, Inc.
08F1	The L.S. Starrett Company
08F2	Microoled
08F3	PSP - Pauli Services & Products GmbH
08F4	Kodimo Technologies Company Limited
08F5	Tymtix Technologies Private Limited
08F6	Dermal Photonics Corporation
08F7	MTD Products Inc & Affiliates
08F8	instagrid GmbH
08F9	Spacelabs Medical Inc.
08FB	Darkglass Electronics Oy
08FC	Hill-Rom
08FD	BioIntelliSense, Inc.
08FE	Ketronixs Sdn Bhd
08FF	Plastimold Products, Inc
0900	Beijing Zizai Technology Co., LTD.
0901	Lucimed
0902	TSC Auto-ID Technology Co., Ltd.
0903	DATAMARS, Inc.
0904	SUNCORPORATION
0905	Yandex Services AG
0906	Scope Logistical Solutions
0907	User Hello, LLC
0908	Pinpoint Innovations Limited
0909	70mai Co.,Ltd.
090A	Zhuhai Hoksi Technology CO.,LTD
090B	EMBR labs, INC
090C	Radiawave Technologies Co.,Ltd.
090E	OPTIMUSIOT TECH LLP
090F	VC Inc.
0910	ASR Microelectronics (Shanghai) Co., Ltd.
0911	Douglas Lighting Controls Inc.
0912	Nerbio Medical Software Platforms Inc
0913	Braveheart Wireless, Inc.
0914	INEO-SENSE
0915	Honda Motor Co., Ltd.
0916	Ambient Sensors LLC
0917	ASR Microelectronics(ShenZhen)Co., Ltd.
0919	NO SMD LIMITED
091A	Albertronic BV
091B	Luminostics, Inc.
091C	Oblamatik AG
091D	Innokind, Inc.
091E	Melbot Studios, Sociedad Limitada
091F	Myzee Technology
0921	KAHA PTE. LTD.
0922	Shanghai MXCHIP Information Technology Co., Ltd.
0923	JSB TECH PTE LTD
0925	Yukai Engineering Inc.
0926	Gooligum Technologies Pty Ltd
0927	ROOQ GmbH
0928	AiRISTA
0929	Qingdao Haier Technology Co., Ltd.
092A	Sappl Verwaltungs- und Betriebs GmbH
092B	TekHome
092C	PCI Private Limited
092D	Leggett & Platt, Incorporated
092E	PS GmbH
092F	C.O.B.O. SpA
0930	James Walker RotaBolt Limited
0931	BREATHINGS Co., Ltd.
0933	SRAM
0934	KiteSpring Inc.
0935	Reconnect, Inc.
0936	Elekon AG
0937	RealThingks GmbH
0938	Henway Technologies, LTD.
0939	ASTEM Co.,Ltd.
093A	LinkedSemi Microelectronics (Xiamen) Co., Ltd
093B	ENSESO LLC
093C	Xenoma Inc.
093D	Adolf Wuerth GmbH & Co KG
093E	Catalyft Labs, Inc.
093F	JEPICO Corporation
0940	Hero Workout GmbH
0941	Rivian Automotive, LLC
0942	TRANSSION HOLDINGS LIMITED
0944	Agitron d.o.o.
0945	Globe (Jiangsu) Co., Ltd
0946	AMC International Alfa Metalcraft Corporation AG
0947	First Light Technologies Ltd.
0948	Wearable Link Limited
0949	Metronom Health Europe
094A	Zwift, Inc.
094B	Kindeva Drug Delivery L.P.
094C	GimmiSys GmbH
094D	tkLABS INC.
094E	PassiveBolt, Inc.
094F	Limited Liability Company "Mikrotikls"
0950	Capetech
0951	PPRS
0952	Apptricity Corporation
0953	LogiLube, LLC
0954	Julbo
0955	Breville Group
0956	Kerlink
0957	Ohsung Electronics
0958	ZTE Corporation
0959	HerdDogg, Inc
095B	Lismore Instruments Limited
095C	LogiLube, LLC
095D	Electronic Theatre Controls
095E	BioEchoNet inc.
095F	NUANCE HEARING LTD
0960	Sena Technologies Inc.
0961	Linkura AB
0962	GL Solutions K.K.
0963	Moonbird BV
0964	Countrymate Technology Limited
0965	Asahi Kasei Corporation
0966	PointGuard, LLC
0967	Neo Materials and Consulting Inc.
0968	Actev Motors, Inc.
0969	Woan Technology (Shenzhen) Co., Ltd.
096A	dricos, Inc.
096B	Guide ID B.V.
096D	Gunwerks, LLC
096E	Band Industries, inc.
0970	IBA Dosimetry GmbH
0971	GA
0973	Popit Oy
0974	ABEYE
0975	BlueIOT(Beijing) Technology Co.,Ltd
0976	Fauna Audio GmbH
0977	TOYOTA motor corporation
0978	ZifferEins GmbH & Co. KG
0979	BIOTRONIK SE & Co. KG
097A	CORE CORPORATION
097B	CTEK Sweden AB
097C	Thorley Industries, LLC
097D	CLB B.V.
097E	SonicSensory Inc
097F	ISEMAR S.R.L.
0980	DEKRA TESTING AND CERTIFICATION, S.A.U.
0981	Bernard Krone Holding SE & Co.KG
0982	ELPRO-BUCHS AG
0983	Feedback Sports LLC
0984	TeraTron GmbH
0986	Cello Hill, LLC
0987	TSE BRAKES, INC.
0988	BHM-Tech Produktionsgesellschaft m.b.H
0989	WIKA Alexander Wiegand SE & Co.KG
098A	Biovigil
098B	Mequonic Engineering, S.L.
098C	bGrid B.V.
098E	ADVEEZ
098F	Aktiebolaget Regin
0990	Anton Paar GmbH
0991	Telenor ASA
0992	Big Kaiser Precision Tooling Ltd
0993	Absolute Audio Labs B.V.
0994	VT42 Pty Ltd
0995	Bronkhorst High-Tech B.V.
0996	C. & E. Fein GmbH
0997	NextMind
0998	Pixie Dust Technologies, Inc.
0999	eTactica ehf
099A	New Audio LLC
099B	Sendum Wireless Corporation
099C	deister electronic GmbH
099D	YKK AP Inc.
099E	Step One Limited
099F	Koya Medical, Inc.
09A0	Proof Diagnostics, Inc.
09A1	VOS Systems, LLC
09A2	ENGAGENOW DATA SCIENCES PRIVATE LIMITED
09A3	ARDUINO SA
09A4	KUMHO ELECTRICS, INC
09A5	Security Enhancement Systems, LLC
09A6	BEIJING ELECTRIC VEHICLE CO.,LTD
09A7	Paybuddy ApS
09A8	KHN Solutions LLC
09A9	Nippon Ceramic Co.,Ltd.
09AA	PHOTODYNAMIC INCORPORATED
09AB	DashLogic, Inc.
09AC	Ambiq
09AD	Narhwall Inc.
09AE	Pozyx NV
09AF	ifLink Open Community
09B0	Deublin Company, LLC
09B1	BLINQY
09B2	DYPHI
09B3	BlueX Microelectronics Corp Ltd.
09B4	PentaLock Aps.
09B5	AUTEC Gesellschaft fuer Automationstechnik mbH
09B6	Pegasus Technologies, Inc.
09B7	Bout Labs, LLC
09B8	PlayerData Limited
09B9	SAVOY ELECTRONIC LIGHTING
09BA	Elimo Engineering Ltd
09BB	SkyStream Corporation
09BC	Aerosens LLC
09BD	Centre Suisse d'Electronique et de Microtechnique SA
09BE	Vessel Ltd.
09BF	Span.IO, Inc.
09C0	AnotherBrain inc.
09C1	Rosewill
09C2	Universal Audio, Inc.
09C3	JAPAN TOBACCO INC.
09C4	UVISIO
09C5	HungYi Microelectronics Co.,Ltd.
09C6	Honor Device Co., Ltd.
09C7	Combustion, LLC
09C8	XUNTONG
09C9	CrowdGlow Ltd
09CA	Mobitrace
09CB	Hx Engineering, LLC
09CC	Senso4s d.o.o.
09CE	Julius Blum GmbH
09CF	BlueStreak IoT, LLC
09D0	Chess Wise B.V.
09D1	ABLEPAY TECHNOLOGIES AS
09D2	Temperature Sensitive Solutions Systems Sweden AB
09D4	ORBIS Inc.
09D5	GEAR RADIO ELECTRONICS CORP.
09D6	EAR TEKNIK ISITME VE ODIOMETRI CIHAZLARI SANAYI VE TICARET ANONIM SIRKETI
09D7	Coyotta
09D8	Synergy Tecnologia em Sistemas Ltda
09D9	VivoSensMedical GmbH
09DA	Nagravision SA
09DB	Bionic Avionics Inc.
09DD	Innoware Development AB
09DE	JLD Technology Solutions, LLC
09DF	Magnus Technology Sdn Bhd
09E1	Tag-N-Trac Inc
09E3	Friday Home Aps
09E4	CPS AS
09E5	Mobilogix
09E6	Masonite Corporation
09E7	Kabushikigaisha HANERON
09E8	Melange Systems Pvt. Ltd.
09E9	LumenRadio AB
09EA	Athlos Oy
09EB	KEAN ELECTRONICS PTY LTD
09EC	Yukon advanced optics worldwide, UAB
09ED	Sibel Inc.
09EE	OJMAR SA
09EF	Steinel Solutions AG
09F0	WatchGas B.V.
09F1	OM Digital Solutions Corporation
09F2	Audeara Pty Ltd
09F3	Beijing Zero Zero Infinity Technology Co.,Ltd.
09F4	Spectrum Technologies, Inc.
09F5	OKI Electric Industry Co., Ltd
09F6	Mobile Action Technology Inc.
09F7	SENSATEC Co., Ltd.
09F8	R.O. S.R.L.
09F9	Hangzhou Yaguan Technology Co. LTD
09FA	Listen Technologies Corporation
09FB	TOITU CO., LTD.
09FC	Confidex
09FE	Lichtvision Engineering GmbH
09FF	AIRSTAR
0A00	Ampler Bikes OU
0A01	Cleveron AS
0A02	Ayxon-Dynamics GmbH
0A03	donutrobotics Co., Ltd.
0A04	Flosonics Medical
0A05	Southwire Company, LLC
0A06	Shanghai wuqi microelectronics Co.,Ltd
0A07	Reflow Pty Ltd
0A08	Oras Oy
0A0A	Volan Technology Inc.
0A0C	Shanghai Yidian Intelligent Technology Co., Ltd.
0A0D	Blue Peacock GmbH
0A0E	Roland Corporation
0A0F	LIXIL Corporation
0A10	SUBARU Corporation
0A11	Sensolus
0A12	Dyson Technology Limited
0A13	Tec4med LifeScience GmbH
0A14	CROXEL, INC.
0A15	Syng Inc
0A17	Plume Design Inc
0A18	Cambridge Animal Technologies Ltd
0A19	Maxell, Ltd.
0A1A	Link Labs, Inc.
0A1B	Embrava Pty Ltd
0A1C	INPEAK S.C.
0A1D	API-K
0A1E	CombiQ AB
0A1F	DeVilbiss Healthcare LLC
0A20	Jiangxi Innotech Technology Co., Ltd
0A21	Apollogic Sp. z o.o.
0A22	DAIICHIKOSHO CO., LTD.
0A23	BIXOLON CO.,LTD
0A24	Atmosic Technologies, Inc.
0A25	Eran Financial Services LLC
0A26	Louis Vuitton
0A28	NanoFlex Power Corporation
0A29	Worthcloud Technology Co.,Ltd
0A2A	Yamaha Corporation
0A2B	PaceBait IVS
0A2C	Shenzhen H&T Intelligent Control Co., Ltd
0A2D	Shenzhen Feasycom Technology Co., Ltd.
0A2F	Instamic, Inc.
0A30	Air-Weigh
0A31	Nevro Corp.
0A32	Pinnacle Technology, Inc.
0A33	WMF AG
0A34	Luxer Corporation
0A35	safectory GmbH
0A36	NGK SPARK PLUG CO., LTD.
0A37	2587702 Ontario Inc.
0A38	Bouffalo Lab (Nanjing)., Ltd.
0A39	BLUETICKETING SRL
0A3B	Galileo Technology Limited
0A3C	Siteco GmbH
0A3D	DELABIE
0A3F	Shenzhen Yopeak Optoelectronics Technology Co., Ltd.
0A41	OPEX Corporation
0A42	Motionalysis, Inc.
0A43	Busch Systems International Inc.
0A44	Novidan, Inc.
0A45	3SI Security Systems, Inc
0A46	Beijing HC-Infinite Technology Limited
0A47	The Wand Company Ltd
0A48	JRC Mobility Inc.
0A4A	Map Large, Inc.
0A4B	MistyWest Energy and Transport Ltd.
0A4C	SiFli Technologies (shanghai) Inc.
0A4D	Lockn Technologies Private Limited
0A4E	Toytec Corporation
0A4F	VANMOOF Global Holding B.V.
0A50	Nextscape Inc.
0A51	CSIRO
0A52	Follow Sense Europe B.V.
0A53	KKM COMPANY LIMITED
0A54	SQL Technologies Corp.
0A55	Inugo Systems Limited
0A56	ambie
0A57	Meizhou Guo Wei Electronics Co., Ltd
0A58	Indigo Diabetes
0A59	TourBuilt, LLC
0A5A	Sontheim Industrie Elektronik GmbH
0A5B	LEGIC Identsystems AG
0A5C	Innovative Design Labs Inc.
0A5D	MG Energy Systems B.V.
0A5F	stryker
0A60	DATANG SEMICONDUCTOR TECHNOLOGY CO.,LTD
0A61	Smart Parks B.V.
0A62	MOKO TECHNOLOGY Ltd
0A64	Geopal system A/S
0A65	Lytx, INC.
0A67	Beijing SuperHexa Century Technology CO. Ltd
0A68	Focus Ingenieria SRL
0A69	HAPPIEST BABY, INC.
0A6A	Scribble Design Inc.
0A6B	Olympic Ophthalmics, Inc.
0A6C	Pokkels
0A6E	Pac Sane Limited
0A6F	Warner Bros.
0A70	Ooma
0A71	Senquip Pty Ltd
0A72	Jumo GmbH & Co. KG
0A73	Innohome Oy
0A74	MICROSON S.A.
0A75	Delta Cycle Corporation
0A76	Synaptics Incorporated
0A77	AXTRO PTE. LTD.
0A78	Shenzhen Sunricher Technology Limited
0A79	Webasto SE
0A7A	Emlid Limited
0A7B	UniqAir Oy
0A7C	WAFERLOCK
0A7D	Freedman Electronics Pty Ltd
0A7E	KEBA Handover Automation GmbH
0A7F	Intuity Medical
0A80	Cleer Limited
0A81	Universal Biosensors Pty Ltd
0A82	Corsair
0A83	Rivata, Inc.
0A84	Greennote Inc,
0A85	Snowball Technology Co., Ltd.
0A86	ALIZENT International
0A87	Shanghai Smart System Technology Co., Ltd
0A88	PSA Peugeot Citroen
0A89	VusionGroup
0A8A	HAINBUCH GMBH SPANNENDE TECHNIK
0A8B	SANlight GmbH
0A8C	DelpSys, s.r.o.
0A8D	JCM TECHNOLOGIES S.A.
0A8E	Perfect Company
0A8F	TOTO LTD.
0A90	Shenzhen Grandsun Electronic Co.,Ltd.
0A91	Monarch International Inc.
0A92	Carestream Dental LLC
0A93	GiPStech S.r.l.
0A94	OOBIK Inc.
0A95	Pamex Inc.
0A98	Foil, Inc.
0A99	Shanghai high-flying electronics technology Co.,Ltd
0A9A	TEMKIN ASSOCIATES, LLC
0A9B	Eello LLC
0A9C	Xi'an Fengyu Information Technology Co., Ltd.
0A9D	Canon Finetech Nisca Inc.
0A9F	ista International GmbH
0AA0	Loy Tec electronics GmbH
0AA1	LINCOGN TECHNOLOGY CO. LIMITED
0AA2	Care Bloom, LLC
0AA3	DIC Corporation
0AA4	FAZEPRO LLC
0AA5	Shenzhen Uascent Technology Co., Ltd
0AA6	Realityworks, inc.
0AA7	Urbanista AB
0AA8	Zencontrol Pty Ltd
0AA9	Spintly, Inc.
0AAA	Computime International Ltd
0AAB	Anhui Listenai Co
0AAC	OSM HK Limited
0AAD	Adevo Consulting AB
0AAE	PS Engineering, Inc.
0AAF	AIAIAI ApS
0AB0	Visiontronic s.r.o.
0AB1	InVue Security Products Inc
0AB2	TouchTronics, Inc.
0AB3	INNER RANGE PTY. LTD.
0AB4	Ellenby Technologies, Inc.
0AB5	Elstat Electronics Ltd.
0AB6	Xenter, Inc.
0AB7	LogTag North America Inc.
0AB8	Sens.ai Incorporated
0AB9	STL
0ABA	Open Bionics Ltd.
0ABB	R-DAS, s.r.o.
0ABC	KCCS Mobile Engineering Co., Ltd.
0ABD	Inventas AS
0ABE	Robkoo Information & Technologies Co., Ltd.
0ABF	PAUL HARTMANN AG
0AC0	Omni-ID USA, INC.
0AC1	Shenzhen Jingxun Technology Co., Ltd.
0AC2	RealMega Microelectronics technology (Shanghai) Co. Ltd.
0AC3	Kenzen, Inc.
0AC4	CODIUM
0AC5	Flexoptix GmbH
0AC6	Barnes Group Inc.
0AC7	Chengdu Aich Technology Co.,Ltd
0AC8	Keepin Co., Ltd.
0AC9	Swedlock AB
0ACA	Shenzhen CoolKit Technology Co., Ltd
0ACB	ise Individuelle Software und Elektronik GmbH
0ACC	Nuvoton
0ACD	Visuallex Sport International Limited
0ACE	KOBATA GAUGE MFG. CO., LTD.
0ACF	CACI Technologies
0AD0	Nordic Strong ApS
0AD2	Lautsprecher Teufel GmbH
0AD3	SSV Software Systems GmbH
0AD4	Zhuhai Pantum Electronisc Co., Ltd
0AD5	Streamit B.V.
0AD6	nymea GmbH
0AD7	AL-KO Geraete GmbH
0AD8	Franz Kaldewei GmbH&Co KG
0ADA	Codefabrik GmbH
0ADB	Reelables, Inc.
0ADC	Duravit AG
0ADD	Boss Audio
0ADE	Vocera Communications, Inc.
0ADF	Douglas Dynamics L.L.C.
0AE3	GlobalMed
0AE4	DALI Alliance
0AE5	unu GmbH
0AE6	Hexology
0AE7	Sunplus Technology Co., Ltd.
0AE8	LEVEL, s.r.o.
0AE9	FLIR Systems AB
0AEA	Borda Technology
0AEB	Square, Inc.
0AEC	FUTEK ADVANCED SENSOR TECHNOLOGY, INC
0AED	Saxonar GmbH
0AEE	Velentium, LLC
0AEF	GLP German Light Products GmbH
0AF0	Leupold & Stevens, Inc.
0AF1	CRADERS,CO.,LTD
0AF3	701x Inc.
0AF4	Radioworks Microelectronics PTY LTD
0AF5	Unitech Electronic Inc.
0AF6	AMETEK, Inc.
0AF7	Irdeto
0AF8	First Design System Inc.
0AF9	Unisto AG
0AFA	Chengdu Ambit Technology Co., Ltd.
0AFB	SMT ELEKTRONIK GmbH
0AFC	Cerebrum Sensor Technologies Inc.
0AFD	Weber Sensors, LLC
0AFE	Earda Technologies Co.,Ltd
0AFF	FUSEAWARE LIMITED
0B00	Flaircomm Microelectronics Inc.
0B01	RESIDEO TECHNOLOGIES, INC.
0B02	IORA Technology Development Ltd. Sti.
0B03	Precision Triathlon Systems Limited
0B05	Marquardt GmbH
0B06	FAZUA GmbH
0B07	Workaround Gmbh
0B08	Shenzhen Qianfenyi Intelligent Technology Co., LTD
0B0A	Belun Technology Company Limited
0B0B	Sanistaal A/S
0B0C	BluPeak
0B0D	SANYO DENKO Co.,Ltd.
0B0E	Minebea Access Solutions Inc.
0B0F	B.E.A. S.A.
0B10	Alfa Laval Corporate AB
0B11	ThermoWorks, Inc.
0B12	ToughBuilt Industries LLC
0B13	IOTOOLS
0B14	Olumee
0B15	NAOS JAPAN K.K.
0B16	Guard RFID Solutions Inc.
0B17	SIG SAUER, INC.
0B18	DECATHLON SE
0B19	WBS PROJECT H PTY LTD
0B1A	Roca Sanitario, S.A.
0B1C	Nanoleq AG
0B1D	Accelerated Systems
0B1E	PB INC.
0B1F	Beijing ESWIN Computing Technology Co., Ltd.
0B20	TKH Security B.V.
0B22	Hygiene IQ, LLC.
0B23	iRhythm Technologies, Inc.
0B24	BeiJing ZiJie TiaoDong KeJi Co.,Ltd.
0B25	NIBROTECH LTD
0B26	Baracoda Daily Healthtech.
0B27	Lumi United Technology Co., Ltd
0B29	Tech-Venom Entertainment Private Limited
0B2B	MAINBOT
0B2C	ILLUMAGEAR, Inc.
0B2D	REDARC ELECTRONICS PTY LTD
0B2E	MOCA System Inc.
0B2F	Duke Manufacturing Co
0B30	ART SPA
0B31	Silver Wolf Vehicles Inc.
0B32	Hala Systems, Inc.
0B33	ARMATURA LLC
0B34	CONZUMEX INDUSTRIES PRIVATE LIMITED
0B35	BH SENS
0B36	SINTEF
0B37	Omnivoltaic Energy Solutions Limited Company
0B38	WISYCOM S.R.L.
0B39	Red 100 Lighting Co., ltd.
0B3A	Impact Biosystems, Inc.
0B3B	AIC semiconductor (Shanghai) Co., Ltd.
0B3C	Dodge Industrial, Inc.
0B3D	REALTIMEID AS
0B3E	ISEO Serrature S.p.a.
0B3F	MindRhythm, Inc.
0B40	Havells India Limited
0B41	Sentrax GmbH
0B42	TSI
0B43	INCITAT ENVIRONNEMENT
0B44	nFore Technology Co., Ltd.
0B45	Electronic Sensors, Inc.
0B47	Gentex Corporation
0B48	NIO USA, Inc.
0B49	SkyHawke Technologies
0B4A	Nomono AS
0B4B	EMS Integrators, LLC
0B4C	BiosBob.Biz
